BTC-ETH
timestamp,bid5,bid4,bid3,bid2,bid1,ask1,ask2,ask3,ask4,ask5,bidQty5,bidQty4,bidQty3,bidQty2,bidQty1,askQty1,askQty2,askQty3,askQty4,askQty5
2018/11/16_23:07:00,0.031269,0.03127,0.031271,0.031294,0.031311,0.031319,0.03132,0.031321,0.031326,0.031328,0.035,10.805,7.976,9.376,0.075,10.0,33.0,6.573,10.0,19.0
2018/11/16_23:08:00,0.031278,0.031283,0.031293,0.031301,0.031302,0.031311,0.031312,0.031314,0.031328,0.031329,18.949,2.244,10.0,1.983,10.0,0.093,0.059,10.0,2.0,11.725
2018/11/16_23:08:30,0.031269,0.031271,0.031278,0.031283,0.031284,0.031295,0.031296,0.031297,0.031299,0.03131,0.035,3.671,8.965,2.244,1.191,7.111,10.0,29.0,7.5,25.0
2018/11/16_23:09:00,0.03125,0.031269,0.031271,0.031278,0.031281,0.031291,0.03134,0.031345,0.031347,0.031348,0.035,0.035,3.671,8.965,0.378,2.635,11.4,13.0,7.294,15.981
2018/11/16_23:09:30,0.031269,0.031271,0.031278,0.031281,0.031282,0.031284,0.03129,0.031291,0.031308,0.03134,0.035,3.671,8.622,0.265,4.0,0.001,0.265,2.394,1.726,11.4
2018/11/16_23:10:00,0.03126,0.031269,0.031271,0.031273,0.031274,0.031285,0.031287,0.031289,0.031291,0.031297,1.726,0.035,1.546,0.83,19.141,9.999,1.07,0.318,10.0,6.182
2018/11/16_23:10:30,0.03124,0.031243,0.031244,0.03125,0.031258,0.031277,0.031278,0.031282,0.031289,0.031291,40.0,10.011,12.4,0.035,4.894,1.818,22.0,10.0,0.099,10.0
2018/11/16_23:11:00,0.031244,0.03125,0.031256,0.031258,0.031259,0.031281,0.031282,0.031289,0.031291,0.031319,12.4,10.035,2.059,53.07,2.141,2.767,10.0,0.099,11.037,25.199
2018/11/16_23:11:30,0.031263,0.031264,0.031267,0.031269,0.031272,0.031284,0.031285,0.031287,0.031291,0.031319,10.0,12.4,0.068,0.096,2.013,0.316,1.705,18.0,9.073,25.199
2018/11/16_23:12:00,0.031267,0.031269,0.031276,0.031278,0.031279,0.031291,0.03132,0.031331,0.031333,0.031335,0.068,0.096,34.0,0.857,2.141,8.581,15.99,5.248,0.261,1.498
2018/11/16_23:12:30,0.031263,0.031264,0.031267,0.031271,0.03128,0.03129,0.031291,0.03132,0.031331,0.031333,10.0,12.4,0.068,1.891,2.141,0.65,10.784,15.99,5.248,0.261
2018/11/16_23:13:00,0.031267,0.031284,0.031285,0.031286,0.031287,0.031322,0.031324,0.031325,0.031326,0.031327,0.068,21.394,1.778,10.173,60.138,0.102,4.0,2.996,10.0,3.084
2018/11/16_23:13:30,0.03126,0.031263,0.031267,0.031284,0.031289,0.031297,0.031299,0.031303,0.031304,0.031315,10.097,10.0,0.068,21.394,4.434,8.486,0.052,3.084,10.0,5.695
2018/11/16_23:14:00,0.03126,0.031263,0.031264,0.031267,0.031284,0.031292,0.031293,0.031294,0.031295,0.031297,10.097,10.0,12.4,0.068,1.618,4.639,3.036,7.454,0.052,8.092
